slug,source,substrate,severity,prompt_injection,malicious_code,secret_exposure,untrusted_fetch,heuristic_hit_count,heuristic_flags,rationale,classifier_error,content_len,elapsed_s,stars,installs,official_badge,defender_positive
az9713-claude-canvas,claudemarketplaces,plugins,L0,False,False,False,False,0,,"First-party Claude Code UI feature for cross-platform canvas interface. No untrusted content, code execution, credential handling, or injection vectors.",,28,32.84,1,1,False,False
jarrodwatts-claude-delegator,claudemarketplaces,plugins,L2,False,False,True,True,0,,"Delegates tasks to external LLM APIs (Codex/Gemini), exposing conversation context and requiring API credentials for authentication. Third-party services are untrusted content sources.",,68,13.64,933,1,False,False
cruzanstx-daplug,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Plugin marketplace for AI workflows. Third-party code ecosystem is inherent but no explicit malicious patterns, code execution exploits, or credential handling visible in description.",,72,25.19,7,1,False,False
mortenbrudvik-claudegrokmcp,claudemarketplaces,plugins,L2,False,False,False,True,0,,"Plugin marketplace inherently distributes third-party executable code; actual risk depends on execution model, plugin verification, and sandboxing controls.",,43,46.49,0,1,False,False
ultimatile-arxiv-skills,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Fetches from trusted arXiv academic repository, transforms papers to documentation. No code execution, credentials, or injection risks detected.",,115,17.42,14,1,False,False
ricardonunez-io-bugbot-loop,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Community plugin, low engagement (4 stars, no votes), missing description; no explicit risk signals in available metadata.",,532,43.75,4,1,False,False
kingbootoshi-codex-orchestrator,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Third-party LLM orchestration (OpenAI Codex). tmux is benign. No explicit risk signals, but delegation without output validation could enable prompt injection or execution of agent responses without b",,96,56.32,263,1,False,False
deepbitstechnology-claude-plugins,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Legitimate defensive security tool for authorized incident response, malware analysis, and vulnerability assessment. No explicit risk signals in stated purpose or scope.",,164,11.79,37,1,False,False
website-crawler,lobehub_plugins,plugins,L2,True,False,False,True,0,,"Web crawler fetches arbitrary URLs specified by users; fetched content could contain prompt injection payloads or sensitive data. Legitimate author (LobeHub, open source) mitigates but doesn't elimina",,410,38.19,0,0,False,False
nazymko-claude-code-marketplace,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic plugin collection description. No explicit risk signals, malware patterns, credential handling issues, or jailbreak attempts. Curated status suggests vetting.",,123,47.48,0,1,False,False
conduit-ui-marketplace,claudemarketplaces,plugins,L1,False,False,False,True,0,,"Third-party plugin marketplace inherently distributes untrusted code. No explicit security vulnerabilities, malware, or credential handling mentioned. Standard plugin ecosystem risk.",,56,10.85,0,3,False,False
metalama-metalama.ai.skills,claudemarketplaces,plugins,L0,False,False,False,False,0,,Metalama is a legitimate C#/.NET compile-time metaprogramming framework. Plugin provides standard code generation/assistance with no risk indicators.,,42,19.36,2,1,False,False
robinebers-cc-plugins,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Vague description lacks specifics on functionality, content sources, shell scope. Typical frontend tools; default to low due to ambiguity.",,81,33.03,6,2,False,False
artemnovichkov-skills,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Generic description without concrete implementation details. No risk signals present, but ambiguous scope warrants conservative L1 rating pending actual code review.",,69,10.88,22,4,False,False
queelius-claude-anvil,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Generic plugin repository description. No explicit security concerns, malware patterns, or credential handling evident. Third-party plugin risk is typical for forge-style systems.",,107,26.33,1,9,False,False
ashchupliak-dream-team,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic plugin description for multi-agent coordination in Claude Code. No explicit risk signals—no credential handling, prompt manipulation, code execution, or untrusted content fetching mentioned.",,55,39.02,5,1,False,False
slvdev-weasel,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Legitimate Solidity static analyzer. MCP server for code analysis with clear purpose. No prompt injection, malware, credential exfiltration, or untrusted fetch indicators.",,96,13.27,26,1,False,False
fongandrew-banana-stand,claudemarketplaces,plugins,L2,True,True,True,True,0,,"Unvetted third-party plugin distribution creates multiple risk vectors: malicious plugins, credential/permission escalation, prompt injection payloads embedded in skills. No inherent validation or san",,34,25.62,0,1,False,False
kevstevie-web2md,claudemarketplaces,plugins,L1,False,False,False,True,0,,"Fetches web content (untrusted source) but markdown conversion is safe sanitization. No explicit injection, malware, or credential risks.",,42,39.48,7,1,False,False
bradleygolden-ash_vibez,claudemarketplaces,plugins,L0,False,False,False,False,0,,"No skill/plugin code, manifest, or installation mechanism provided. Plain text statement with no risk signals.",,47,8.08,0,1,False,False
igpastor-sng-claude-marketplace,claudemarketplaces,plugins,L2,False,False,False,True,0,,Plugin marketplace fetches third-party plugins from external sources with broad execution scope (frontend/backend/devops). No vetting or permission-scoping details disclosed. Supply-chain risk.,,124,23.4,0,4,False,False
vre-flow-state,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Name only; no implementation details provided. Risk assessment requires actual code review of plugin loading, validation, and execution mechanisms.",,40,36.13,7,2,False,False
worldflowai-everything-claude-code,claudemarketplaces,plugins,L1,False,False,False,True,0,,Official Anthropic dev toolkit; WebFetch & shell access intentional & permission-gated. No injection/exfiltration/malware. Risky features by design for developers.,,103,17.16,11,1,False,False
ipletnjov-tw-taskie,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic high-level capability description with no implementation details, no risky operations, no external fetches, no credential handling. Benign.",,80,24.31,3,1,False,False
open-horizon-labs-oh-mcp-server,claudemarketplaces,plugins,L1,False,False,False,False,0,,MCP server for alignment context with no explicit attack vectors or risky patterns in name/description. Ambiguous risk profile defaults to L1 absent explicit red flags.,,75,35.44,1,1,False,False
datathings-marketplace,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Metadata-only marketplace entry with legitimate ML/GPU computing keywords. No code, description, or risk signals. Individual plugins would require separate review.",,1623,14.64,8,12,False,False
pmatos-badminton-cli,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Domain-specific sports data analyzer. No code execution, credential handling, untrusted fetches, or LLM manipulation signals detected.",,39,22.41,0,1,False,False
0xdesign-design-plugin,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic design exploration plugin description with no risk signals detected. No explicit malicious content, prompt injection, credential handling, or untrusted fetches indicated.",,42,37.51,704,1,False,False
jaechang-hits/SciAgent-Skills,github_plugins,plugins,L0,False,False,False,False,0,,"Legitimate bioinformatics skill collection. No injection attempts, malware, credential exposure, or jailbreak payload detected in description.",,178,19.22,120,0,False,False
mateon01-aidlc-for-claude,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Standard DLC automation plugin. No malicious signals in name/description, but development lifecycle tools typically require shell & credential access—flag implementation review if scoping unclear.",,64,33.83,0,1,False,False
ycs77-claude-code-notifications,claudemarketplaces,plugins,L1,False,False,False,True,0,,"Third-party audio plugin collection with vague provenance. Unclear distribution mechanism and unusual 'prompt sound' terminology. No explicit code execution or credential risk, but opacity around cont",,36,47.17,0,12,False,False
chatii-claude-code-finding-tanaoroshi,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,39,8.06,0,1,False,False
zjor-effective-claude,claudemarketplaces,plugins,L2,False,False,False,True,0,,Plugin marketplace architecture fetches and executes untrusted creator code (agents/skills) with broad authority; supply chain attack surface for compromise or privilege abuse.,,94,31.14,0,1,False,False
maigentic-stratarts,claudemarketplaces,plugins,L1,False,False,False,True,0,,"Multiple business skills extension with vague descriptions. Context chaining and HTML visualization without explicit trust boundaries pose minor risks, but no explicit malicious intent.",,180,46.11,13,1,False,False
rylaa-claude-agent-workflows,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Figma plugin collection for design-to-code workflows. Standard tooling, sandboxed execution, no malware/credential/injection indicators in description.",,143,10.55,2,3,False,False
kylesnowschwartz-jira-cli-skill,claudemarketplaces,plugins,L2,False,False,True,True,0,,"Requires Jira API credentials (exfiltration risk if not scoped). Fetches untrusted content from external Jira API. No explicit misuse, but needs proper secret isolation & API scoping.",,52,23.11,0,1,False,False
zigrivers-scaffold,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Structured scaffolding CLI for guided AI-assisted development; no prompt injection, malware, secret exposure, or untrusted fetch risks detected.",,278,36.22,3,1,False,False
fcakyon-claude-codex-settings,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Personal development environment description; no explicit risk signals, malicious payloads, or credential exposure in metadata. Describes established tooling.",,131,10.55,575,24,False,False
mcfearsome-fork-yeah,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Benign Git/worktree development tool for Claude Code. Standard branching/workflow functionality, no untrusted fetches, credentials, or suspicious patterns.",,610,19.9,0,1,False,False
amitpatole-claude-genkit-plugin,claudemarketplaces,plugins,L1,False,False,False,False,0,,Legitimate Firebase/Google framework integration. Credentials required for functionality but no explicit mishandling indicators. Standard backend plugin pattern with no obfuscation or jailbreak attemp,,38,36.86,11,34,False,False
nonprofits,lobehub_plugins,plugins,L1,False,False,False,True,0,,"Legitimate charity plugin. Manifest/logo fetched from third-party CDN (LobHub), creating minor supply-chain risk. No injection, malware, or credential exposure signals.",,476,11.21,0,0,False,False
ed3dai-ed3d-plugins,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Workflow plugin collection; no prompt injection, malware, credential, or fetch risks detected. 'Cursed' comment indicates code quirks/quality issues, not security threats.",,126,21.73,160,11,False,False
kerinin-claude-modes,claudemarketplaces,plugins,L2,False,False,True,True,0,,Cloud code execution plugin requires Modal API credentials; permits LLM-generated code execution on external infrastructure without apparent input validation or scope boundaries.,,38,35.81,0,1,False,False
ngarrison-stack-claude-plugin-database,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Reference database of plugin metadata. No execution, fetching, credential handling, or prompt manipulation signals.",,77,14.69,0,1,False,False
hyperskill-claude-code-marketplace,claudemarketplaces,plugins,L0,False,False,False,False,0,,Curated plugin collection by reputable Hyperskill Team. No explicit risk signals in description; curation suggests vetting.,,77,29.44,3,1,False,False
tnm-email-cli,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Legitimate utility CLI for agent email sending. No malware patterns, credential exfiltration, prompt injection payloads, or untrusted content fetches. Standard operational function with proper scope b",,33,46.92,6,1,False,False
akkomar-mozdata-claude-plugin,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Newly created community plugin with empty description and zero engagement. Minor quality issue (no documentation), but no malicious code/payload indicators detected in metadata. Unvalidated but not ho",,427,10.25,0,1,False,False
vintasoftware-django-ai-plugins,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic AI skill collection for Django development. No suspicious code patterns, untrusted fetches, credential handling, or injection vectors detected.",,67,17.89,37,3,False,False
musingfox-cc-plugins,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Personal storage/logging system for AI interaction history. No malicious intent, untrusted content, or explicit security risks indicated in description.",,79,34.41,2,13,False,False
gigs-slc-react-native-skills,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Development rule set from reputable sources (Callstack, Vercel, Expo). No executable code, credential handling, or injection vectors. Best-practice guidelines only.",,101,9.13,0,1,False,False
huntsyea-product-skills,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Official Anthropic product skills with documented authorization flows, proper API credential management (proxies), and scoped capabilities. No injection patterns, malware, or credential exfiltration v",,30,27.46,2,1,False,False
lucasilverentand-claude-plugins,claudemarketplaces,plugins,L1,False,False,False,True,0,,Marketplace of curated third-party plugins; inherent third-party content risk mitigated by curation process.,,88,44.76,0,2,False,False
burythehammer-claude-code-plugins,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Legitimate development helper for Terraform providers. No code execution, prompt manipulation, credential exfiltration, or untrusted content fetching. Standard tooling.",,71,9.52,0,1,False,False
laizyio-workflowskills,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Standard SDLC workflow tool structuring feature development phases (research→planning→implementation→testing→fixing). No code execution, credential access, or injection vectors evident.",,118,19.31,0,1,False,False
sunshowers-lspmux-rust-analyzer,claudemarketplaces,plugins,L0,False,False,False,False,0,,Standard LSP tooling (multiplexer + Rust Foundation's rust-analyzer) with auto-updates from official releases. No exploit vectors or untrusted sources.,,64,35.9,6,1,False,False
robinmordasiewicz-f5xc-marketplace,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Legitimate enterprise cloud platform (F5) integration plugin. Standard credential-based cloud automation pattern. No explicit attack vectors, obfuscation, or suspicious implementation details detected",,55,22.07,0,1,False,False
brownfinesecurity-iothackbot,claudemarketplaces,plugins,L1,False,False,False,False,0,,Authorized pentesting tool for IoT security; legitimate security testing domain; no malicious code or injection indicators detected.,,87,35.85,726,1,False,False
vlm-run-skills,claudemarketplaces,plugins,L1,False,False,False,False,0,,Standard VLM utility tool; no explicit risk signals. CLI execution requires input validation but no evidence of unscoped shell or malicious intent visible.,,28,55.99,7,1,False,False
kerdofficial-claude-debug-mode,claudemarketplaces,plugins,L2,False,True,True,True,0,,"Plugin marketplace distributes third-party code with debugging access (secrets in stack traces, memory). No code signing, sandboxing, or vetting controls mentioned.",,45,21.04,2,1,False,False
moonlit-mind-map,lobehub_plugins,plugins,L1,False,False,False,True,0,,"Non-essential mindmap tool; manifest fetched from external domain (mindmap.flowai.one); no malicious indicators, but unverified third-party content source.",,369,40.04,0,0,False,False
stylelist94-claude-plugins,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,16,47.83,0,3,False,False
digital-stoic-org-agent-skills,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic tool description with no code, no fetch patterns, no credential handling, no injection attempts. Benign collaboration framework.",,58,7.44,5,6,False,False
zircote-lsp-marketplace,claudemarketplaces,plugins,L2,False,True,False,True,0,,LSP marketplace distributes third-party code with elevated IDE/system privileges; automated hooks execute without per-run review. Curation mitigates but doesn't eliminate supply-chain risk.,,91,23.07,7,29,False,False
pbdeuchler-llm-plugins,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,36,31.28,11,6,False,False
douglance-devsql,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Community SQL-query tool for git/conversation analysis. No explicit risk signals, legitimate productivity use-case, 168 stars suggest adoption. Empty description is documentation gap, not security ris",,512,21.25,168,1,False,False
gradion-ai-ipybox,claudemarketplaces,plugins,L2,False,False,False,False,0,,"Unscoped shell command + Python code execution environment. Without explicit permission gates, audit logging, or sandbox boundaries, represents elevated capability risk per L2 criteria.",,95,35.08,74,3,False,False
witt3rd-claude-plugins,claudemarketplaces,plugins,L0,False,False,False,False,0,,Generic descriptor without code/manifest. No risk signals evident in abstract description of knowledge/workflow tools.,,89,43.95,2,2,False,False
ohare93-claude-setup,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic description of agents, commands, templates, and documentation. No explicit risk signals, untrusted content fetches, credential handling, or code execution patterns mentioned.",,107,11.79,0,1,False,False
lobu-ai-lobu,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Promotional text for autonomous agent product. No code, no exploit payloads, no credential handling, no untrusted fetches. Vague but benign.",,63,23.45,100,1,False,False
saleor-configurator,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Development automation tool for data model generation in Saleor. No explicit risk signals: local code generation, no credential handling indicated, no shell execution or external fetch vectors describ",,69,34.76,28,1,False,False
thesimonho-artificial-jellybeans,claudemarketplaces,plugins,L0,False,False,False,False,0,,Anthropic-curated skill distribution platform with presumed review/vetting process. No signals of active security issues.,,18,12.63,0,3,False,False
tm42-mnemograph,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Benign MCP utility for memory storage. No code execution, external fetches, credential handling, or injection vectors evident from description.",,57,23.67,3,1,False,False
1broseidon-marketplace,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Generic curated plugin collection description with no implementation details visible. Legitimate dev tooling use case, but third-party plugins inherently carry minor quality/trust risk without code re",,73,40.98,1,1,False,False
outlinedriven-odin-claude-plugin,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Development methodology/framework with no prompt injection, code execution, credential handling, or fetch patterns. Minimal description shows no risk signals.",,97,12.32,17,1,False,False
nyldn-claude-octopus,claudemarketplaces,plugins,L1,False,False,False,False,0,,Non-essential multi-model feature for coding review. Quality risk if model outputs lack proper validation or conflict detection. No explicit security exploits.,,101,24.1,2412,1,False,False
constellos-claude-code,claudemarketplaces,plugins,L1,False,False,False,False,0,,"TypeScript type definitions for Claude Code internals (tools, MCP, transcripts, hooks). No execution/injection/fetch vectors. Minor risk from detailed hook event insight; standard metadata tooling.",,114,42.17,5,6,False,False
nickcrew-claude-cortex,claudemarketplaces,plugins,unknown,False,False,False,False,0,,"Insufficient information. No code, manifest, or description provided for analysis.",,13,16.14,13,5,False,False
husniadil-fastmcp-builder,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Legitimate MCP development framework with OAuth best practices, testing, and security guidance. No injection attempts, malware, credentials exposure, or untrusted fetches detected.",,207,27.98,8,1,False,False
web,lobehub_plugins,plugins,L2,True,False,False,True,0,,Web search plugin with core untrusted content fetch + manifest served from external domain (supply chain risk). Feeding unsanitized web pages to LLM creates prompt injection surface.,,500,43.74,0,0,False,False
troykelly-claude-skills,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Benign GitHub-native development workflow. No injection, malware, credential exfiltration, or exploitation indicators.",,128,8.54,6,1,False,False
rogeriosantos-improve-ui-ux,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Third-party marketplace plugin for non-critical UI improvements. Untrusted origin, no explicit injection, malware, or credential exfiltration vectors.",,46,22.14,0,1,False,False
seanedwards-ai-dotfiles,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Vague description lacks explicit risk signals. Dotfile management could involve credential exposure if configs contain secrets, but no evidence of injection, obfuscation, or untrusted execution. Conse",,64,38.78,1,4,False,False
fvadicamo-dev-agent-skills,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Standard Claude Code productivity plugin for version control and GitHub integration; no suspicious payloads, injection attempts, or unsafe credential handling detected.",,72,10.09,55,2,False,False
towc-claude-boops,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Simple audio notification plugin; keywords (audio, boops, gentle, notifications) clearly indicate benign feature; no risk signals detected",,448,26.38,0,1,False,False
amoscicki-aromatt,claudemarketplaces,plugins,L1,False,False,False,True,0,,"Plugin marketplace with third-party content distribution. Inherent ecosystem risk if plugins lack proper vetting/sandboxing, but typical safeguards expected from official platform.",,31,41.23,0,5,False,False
0xpd33-hydra-tools,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic Rust tool collection for multi-agent coordination. No explicit risk signals: no curl/bash patterns, credential handling, fetch behaviors, or code execution concerns described.",,73,10.28,0,1,False,False
jnlei-claude-tools,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Description too vague to assess. Need specific plugin details, code, permissions, and data sources.",,51,19.56,17,12,False,False
ast-grep-agent-skill,claudemarketplaces,plugins,L2,False,False,False,True,0,,Marketplace distributes third-party skills without explicit vetting/signing; untrusted content fetch risk. ast-grep itself is benign.,,78,38.09,611,1,False,False
hdeibler-noop,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Benign project boilerplate generator. No code execution, remote fetch, credentials, or injection vectors. Standard dev tool.",,92,11.25,0,1,False,False
jellydn-my-ai-tools,claudemarketplaces,plugins,L2,False,False,True,False,0,,Config sync tool for multiple AI platforms. Handles credentials/API keys as part of 'complete setup' replication without explicit secret-scoping or validation mechanism for synced configs across multi,,213,22.69,53,10,False,False
ursisterbtw-ccprompts,claudemarketplaces,plugins,L0,False,False,False,False,0,,Benign reference to legitimate Claude Code CLI commands and subagent functionality. No risk signals detected.,,44,29.7,70,1,False,False
discreteds-competition-scout,claudemarketplaces,plugins,L2,False,False,True,True,0,,Scrapes untrusted online competition sources; GitHub persistence requires API credentials (exposure risk). No explicit malware/jailbreak detected.,,148,15.9,0,1,False,False
byborgai-prompt-collection,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Community prompt collection with empty description. Keywords generic/vague (agents, executing, commands). 12 stars, 0 engagement, low scrutiny. No explicit malicious code, credential handling, or untr",,697,34.19,12,2,False,False
lefant-claude-code-plugins,claudemarketplaces,plugins,L1,False,False,False,True,0,,"Official Claude Code plugins within trusted ecosystem, permission-gated execution. Some web fetches (research skills) but user-reviewed. No jailbreak/exfil patterns.",,45,51.37,1,2,False,False
mindfold-ai-docs,claudemarketplaces,plugins,L1,False,False,False,True,0,,Marketplace distributes third-party skills; inherent trust assumptions but no explicit malicious indicators in description.,,91,19.32,1,1,False,False
mimir-dm-mimir,claudemarketplaces,plugins,L0,False,False,False,False,0,,"D&D campaign management tool; benign application domain, no integrations, credentials, or code execution patterns.",,54,27.04,19,1,False,False
josemlopez-threat-modeling-toolkit,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Legitimate threat modeling toolkit (STRIDE/PASTA). No prompt injection, code execution, credential handling, or untrusted fetch indicators in description.",,130,40.23,3,1,False,False
x-cmd-skill,claudemarketplaces,plugins,L0,False,False,False,False,0,,Meta-description of skill curation process. Human vetting + community oversight are baseline safeguards. No specific implementation details provided to audit.,,67,9.48,19,4,False,False
computomatic-claude-plugin,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,47,20.31,0,4,False,False
genesiscz-genesistools,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Insufficient information provided. 'Useful tools' is generic descriptor with no code, manifest, or functionality details to assess.",,12,28.68,5,2,False,False
